Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,2.350000,2.350000,2.350000,2.350000,2.264773,0
2019-01-02,2.360000,2.400000,2.330000,2.330000,2.245499,3537200
2019-01-03,2.330000,2.350000,2.310000,2.310000,2.226224,4738300
2019-01-04,2.310000,2.370000,2.310000,2.360000,2.274411,5953900
2019-01-07,2.390000,2.420000,2.380000,2.400000,2.312960,5982600
2019-01-08,2.410000,2.510000,2.400000,2.490000,2.399696,7400900
2019-01-09,2.510000,2.530000,2.430000,2.450000,2.361147,5096000
2019-01-10,2.450000,2.490000,2.440000,2.490000,2.399696,5635500
2019-01-11,2.500000,2.530000,2.470000,2.490000,2.399696,3500900
2019-01-14,2.500000,2.500000,2.460000,2.470000,2.380422,2656700
2019-01-15,2.470000,2.540000,2.470000,2.520000,2.428608,4825900
2019-01-16,2.530000,2.550000,2.520000,2.540000,2.447883,3952100
2019-01-17,2.550000,2.550000,2.500000,2.510000,2.418971,2213100
2019-01-18,2.520000,2.540000,2.520000,2.520000,2.428608,1827100
2019-01-21,2.530000,2.550000,2.510000,2.520000,2.428608,1755700
2019-01-22,2.520000,2.540000,2.500000,2.510000,2.418971,2294500
2019-01-23,2.510000,2.520000,2.490000,2.510000,2.418971,2205000
2019-01-24,2.520000,2.530000,2.490000,2.520000,2.428608,1052000
2019-01-25,2.530000,2.540000,2.520000,2.520000,2.428608,2017600
2019-01-28,2.520000,2.540000,2.500000,2.520000,2.428608,2514000
2019-01-29,2.500000,2.520000,2.490000,2.520000,2.428608,2263600
2019-01-30,2.520000,2.520000,2.450000,2.460000,2.370785,4675200
2019-01-31,2.480000,2.520000,2.480000,2.510000,2.418971,4355400
2019-02-01,2.510000,2.520000,2.470000,2.480000,2.390059,2303100
2019-02-04,2.490000,2.490000,2.470000,2.480000,2.390059,594800
2019-02-05,2.480000,2.480000,2.480000,2.480000,2.390059,0
2019-02-07,2.510000,2.510000,2.480000,2.500000,2.409334,1359200
2019-02-08,2.480000,2.500000,2.470000,2.490000,2.399696,3270743
2019-02-11,2.460000,2.480000,2.460000,2.470000,2.380422,2082900
2019-02-12,2.470000,2.490000,2.460000,2.480000,2.390059,1858600
2019-02-13,2.500000,2.520000,2.490000,2.500000,2.409334,1543400
2019-02-14,2.500000,2.510000,2.470000,2.490000,2.399696,1218900
2019-02-15,2.490000,2.500000,2.470000,2.480000,2.390059,1994300
2019-02-18,2.490000,2.510000,2.480000,2.510000,2.418971,2272300
2019-02-19,2.510000,2.520000,2.460000,2.470000,2.380422,2857200
2019-02-20,2.480000,2.490000,2.450000,2.490000,2.399696,4700100
2019-02-21,2.480000,2.490000,2.460000,2.470000,2.380422,2148900
