Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,2.930000,2.930000,2.930000,2.930000,2.782522,0
2019-01-02,2.910000,2.920000,2.860000,2.880000,2.735039,26096400
2019-01-03,2.860000,2.890000,2.850000,2.860000,2.716045,23728800
2019-01-04,2.840000,2.900000,2.830000,2.900000,2.754032,20327100
2019-01-07,2.950000,2.960000,2.910000,2.940000,2.792019,17339600
2019-01-08,2.960000,2.970000,2.930000,2.940000,2.792019,17815200
2019-01-09,2.960000,2.990000,2.950000,2.970000,2.820509,19772300
2019-01-10,2.990000,3.040000,2.970000,3.040000,2.886985,29497800
2019-01-11,3.050000,3.080000,3.040000,3.050000,2.896482,17855200
2019-01-14,3.070000,3.090000,3.000000,3.000000,2.848999,20061500
2019-01-15,3.020000,3.070000,3.020000,3.030000,2.877489,18674500
2019-01-16,3.050000,3.060000,3.020000,3.060000,2.905979,14653500
2019-01-17,3.040000,3.060000,3.040000,3.050000,2.896482,13754400
2019-01-18,3.050000,3.070000,3.050000,3.070000,2.915475,12346500
2019-01-21,3.080000,3.090000,3.030000,3.040000,2.886985,16838900
2019-01-22,3.060000,3.060000,3.010000,3.020000,2.867992,10209100
2019-01-23,3.030000,3.050000,3.010000,3.030000,2.877489,13030300
2019-01-24,3.060000,3.070000,3.040000,3.060000,2.905979,13704200
2019-01-25,3.040000,3.060000,3.030000,3.050000,2.896482,12231000
2019-01-28,3.040000,3.050000,3.020000,3.030000,2.877489,10332800
2019-01-29,3.040000,3.050000,3.000000,3.020000,2.867992,12619800
2019-01-30,3.020000,3.030000,2.990000,3.010000,2.858495,15868500
2019-01-31,3.020000,3.040000,3.000000,3.020000,2.867992,20022200
2019-02-01,3.010000,3.020000,2.980000,3.020000,2.867992,13484200
2019-02-04,3.030000,3.040000,3.000000,3.020000,2.867992,8582100
2019-02-05,3.020000,3.020000,3.020000,3.020000,2.867992,0
2019-02-07,3.050000,3.080000,3.040000,3.050000,2.896482,16197315
2019-02-08,3.020000,3.070000,3.020000,3.060000,2.905979,24623281
2019-02-11,3.040000,3.060000,3.020000,3.050000,2.896482,12455900
2019-02-12,3.020000,3.060000,3.020000,3.030000,2.877489,14413200
2019-02-13,3.030000,3.050000,3.010000,3.030000,2.877489,20484800
2019-02-14,3.010000,3.040000,3.010000,3.030000,2.877489,19340700
2019-02-15,3.010000,3.020000,2.980000,2.990000,2.839502,22234600
2019-02-18,3.000000,3.010000,2.980000,3.000000,2.848999,11420000
2019-02-19,3.000000,3.020000,3.000000,3.000000,2.848999,10824600
2019-02-20,3.020000,3.060000,3.000000,3.050000,2.896482,22032700
