Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,9.060000,9.100000,9.010000,9.050000,8.994794,1285600
2019-08-06,9.000000,9.100000,9.000000,9.040000,8.984855,1452800
2019-08-07,9.040000,9.080000,9.000000,9.040000,8.984855,1096900
2019-08-08,9.070000,9.080000,9.020000,9.050000,8.994794,1062500
2019-08-13,9.060000,9.060000,8.960000,9.050000,8.994794,1970000
2019-08-14,9.090000,9.100000,8.970000,8.970000,8.915282,1984100
2019-08-15,8.970000,8.990000,8.900000,8.970000,8.915282,1675300
2019-08-16,8.940000,8.940000,8.860000,8.940000,8.885465,1486800
2019-08-19,8.940000,8.980000,8.900000,8.920000,8.865587,1156400
2019-08-20,8.910000,8.950000,8.910000,8.920000,8.865587,813100
2019-08-21,8.930000,8.980000,8.920000,8.940000,8.885465,871700
2019-08-22,8.940000,8.940000,8.900000,8.940000,8.885465,894000
2019-08-23,8.950000,8.950000,8.880000,8.890000,8.835771,1000000
2019-08-26,8.840000,8.900000,8.800000,8.860000,8.805953,1587600
2019-08-27,8.820000,8.850000,8.760000,8.820000,8.766196,1970100
2019-08-28,8.780000,8.800000,8.690000,8.700000,8.646929,1980900
2019-08-29,8.680000,8.800000,8.650000,8.760000,8.706563,1146300
2019-08-30,8.850000,8.850000,8.770000,8.830000,8.776135,1716200
2019-09-02,8.740000,8.830000,8.740000,8.780000,8.726440,477500
2019-09-03,8.750000,8.840000,8.710000,8.840000,8.786075,1054800
2019-09-04,8.880000,8.900000,8.810000,8.860000,8.805953,1396100
2019-09-05,8.920000,9.040000,8.920000,8.990000,8.935160,1503400
2019-09-06,9.050000,9.070000,8.950000,9.020000,8.964977,1169200
2019-09-09,9.020000,9.090000,9.010000,9.040000,8.984855,335800
2019-09-10,9.040000,9.090000,9.040000,9.090000,9.034550,769000
2019-09-11,9.120000,9.120000,9.010000,9.030000,8.974916,2067700
2019-09-12,9.050000,9.230000,9.050000,9.200000,9.143879,2567300
2019-09-13,9.220000,9.270000,9.180000,9.250000,9.193574,1169900
2019-09-16,9.140000,9.220000,9.110000,9.150000,9.094184,1029400
2019-09-17,9.140000,9.180000,9.080000,9.110000,9.054427,1090700
2019-09-18,9.200000,9.210000,9.130000,9.150000,9.094184,832500
2019-09-19,9.150000,9.190000,9.100000,9.100000,9.044489,562500
2019-09-20,9.150000,9.240000,9.110000,9.240000,9.183635,1611800
2019-09-23,9.230000,9.230000,9.080000,9.110000,9.054427,549600
2019-09-24,9.170000,9.220000,9.130000,9.220000,9.163757,987500
2019-09-25,9.200000,9.210000,9.140000,9.190000,9.133940,847700
2019-09-26,9.170000,9.200000,9.150000,9.160000,9.104123,661600
2019-09-27,9.150000,9.160000,9.100000,9.150000,9.094184,696500
2019-09-30,9.110000,9.210000,9.110000,9.140000,9.084246,824400
2019-10-01,9.190000,9.250000,9.170000,9.240000,9.183635,1036800
2019-10-02,9.120000,9.190000,9.020000,9.080000,9.024611,1075500
2019-10-03,8.980000,9.070000,8.980000,9.020000,8.964977,695100
2019-10-04,9.020000,9.080000,8.970000,9.010000,8.955038,851900
2019-10-07,9.010000,9.070000,9.000000,9.040000,8.984855,638200
2019-10-08,9.070000,9.110000,9.040000,9.060000,9.004733,446100
2019-10-09,9.090000,9.110000,9.020000,9.020000,8.964977,714600
2019-10-10,9.000000,9.060000,9.000000,9.010000,8.955038,490500
2019-10-11,9.060000,9.070000,9.030000,9.060000,9.004733,668600
2019-10-14,9.090000,9.110000,9.070000,9.090000,9.034550,413400
2019-10-15,9.090000,9.130000,9.050000,9.060000,9.004733,656700
2019-10-16,9.130000,9.190000,9.100000,9.160000,9.104123,886000
2019-10-17,9.080000,9.170000,9.080000,9.170000,9.114062,730200
2019-10-18,9.130000,9.150000,9.040000,9.040000,8.984855,973900
2019-10-21,9.050000,9.120000,9.050000,9.100000,9.044489,655100
2019-10-22,9.110000,9.140000,9.080000,9.110000,9.054427,668600
2019-10-23,9.110000,9.120000,9.040000,9.120000,9.064366,618100
2019-10-24,9.130000,9.130000,9.040000,9.050000,8.994794,1485200
2019-10-25,9.050000,9.130000,9.050000,9.130000,9.074306,560700
2019-10-29,9.180000,9.250000,9.170000,9.200000,9.143879,1496600
2019-10-30,9.150000,9.250000,9.150000,9.240000,9.183635,1185600
2019-10-31,9.250000,9.430000,9.250000,9.410000,9.352598,2960600
2019-11-01,9.390000,9.460000,9.370000,9.410000,9.352598,1014200
2019-11-04,9.430000,9.490000,9.410000,9.470000,9.412232,1082000
2019-11-05,9.380000,9.470000,9.380000,9.430000,9.372477,1168380
2019-11-06,9.430000,9.430000,9.170000,9.180000,9.124002,3416300
2019-11-07,9.190000,9.290000,9.180000,9.250000,9.193574,1607400
2019-11-08,9.250000,9.350000,9.220000,9.320000,9.263146,1103100
2019-11-11,9.250000,9.300000,9.210000,9.240000,9.183635,884400
2019-11-12,9.300000,9.300000,9.240000,9.260000,9.203513,747900
2019-11-13,9.250000,9.280000,9.160000,9.240000,9.183635,1244600
2019-11-14,9.150000,9.270000,9.150000,9.210000,9.210000,1001200
2019-11-15,9.280000,9.280000,9.180000,9.240000,9.240000,579200
2019-11-18,9.210000,9.240000,9.150000,9.240000,9.240000,627000
2019-11-19,9.180000,9.210000,9.140000,9.150000,9.150000,1037300
2019-11-20,9.150000,9.170000,9.110000,9.140000,9.140000,668600
2019-11-21,9.080000,9.140000,9.040000,9.070000,9.070000,1083400
2019-11-22,9.120000,9.210000,9.070000,9.210000,9.210000,1239100
2019-11-25,9.200000,9.230000,9.170000,9.210000,9.210000,605300
2019-11-26,9.200000,9.280000,9.150000,9.280000,9.280000,2275500
2019-11-27,9.230000,9.260000,9.130000,9.140000,9.140000,1603600
2019-11-28,9.150000,9.210000,9.110000,9.190000,9.190000,766500
2019-11-29,9.210000,9.210000,9.140000,9.190000,9.190000,1689200
2019-12-02,9.160000,9.200000,9.140000,9.160000,9.160000,684100
2019-12-03,9.110000,9.140000,9.030000,9.060000,9.060000,2024300
2019-12-04,9.010000,9.040000,8.980000,9.040000,9.040000,1561400
2019-12-05,9.040000,9.080000,9.010000,9.020000,9.020000,832000
2019-12-06,9.010000,9.100000,9.010000,9.100000,9.100000,820300
2019-12-09,9.090000,9.110000,8.970000,8.970000,8.970000,1439700
2019-12-10,8.970000,9.000000,8.940000,8.960000,8.960000,1532400
2019-12-11,8.940000,9.080000,8.940000,9.030000,9.030000,1249500
2019-12-12,9.030000,9.130000,9.020000,9.090000,9.090000,1029000
2019-12-13,9.150000,9.150000,9.070000,9.130000,9.130000,755900
2019-12-16,9.130000,9.150000,9.100000,9.120000,9.120000,669100
2019-12-17,9.170000,9.200000,9.100000,9.120000,9.120000,1416300
2019-12-18,9.120000,9.160000,9.050000,9.120000,9.120000,1259400
2019-12-19,9.050000,9.070000,9.000000,9.050000,9.050000,1289000
2019-12-20,9.010000,9.030000,8.990000,9.000000,9.000000,1494600
2019-12-23,9.050000,9.090000,9.020000,9.070000,9.070000,748400
2019-12-24,9.070000,9.100000,9.050000,9.070000,9.070000,283000
2019-12-25,9.070000,9.070000,9.070000,9.070000,9.070000,0
2019-12-26,9.050000,9.080000,9.000000,9.080000,9.080000,252200
2019-12-27,9.080000,9.100000,9.050000,9.070000,9.070000,369100
2019-12-30,9.080000,9.090000,9.030000,9.040000,9.040000,592600
2019-12-31,9.020000,9.120000,9.020000,9.040000,9.040000,1157700
2020-01-02,9.100000,9.120000,9.040000,9.110000,9.110000,1131100
2020-01-03,9.120000,9.120000,9.000000,9.020000,9.020000,1001600
2020-01-06,8.970000,8.970000,8.920000,8.930000,8.930000,1219900
2020-01-07,8.960000,9.020000,8.950000,9.010000,9.010000,1127400
2020-01-08,8.880000,8.990000,8.830000,8.990000,8.990000,1668700
2020-01-09,8.970000,9.000000,8.920000,8.930000,8.930000,969700
2020-01-10,8.990000,9.000000,8.920000,8.950000,8.950000,1181900
2020-01-13,8.950000,9.000000,8.920000,8.950000,8.950000,564600
2020-01-14,8.940000,9.020000,8.940000,9.010000,9.010000,725400
2020-01-15,9.020000,9.070000,8.990000,9.030000,9.030000,983900
2020-01-16,9.030000,9.090000,8.970000,9.040000,9.040000,696900
2020-01-17,9.080000,9.080000,8.960000,9.050000,9.050000,996400
2020-01-20,9.050000,9.050000,8.990000,9.020000,9.020000,435300
2020-01-21,8.990000,8.990000,8.830000,8.840000,8.840000,2399000
2020-01-22,8.840000,9.040000,8.840000,8.930000,8.930000,2496100
2020-01-23,8.920000,8.940000,8.840000,8.850000,8.850000,1891800
2020-01-24,8.840000,8.840000,8.730000,8.820000,8.820000,1471300
2020-01-28,8.580000,8.590000,8.480000,8.560000,8.560000,3781700
2020-01-29,8.610000,8.630000,8.540000,8.570000,8.570000,2236300
2020-01-30,8.570000,8.590000,8.500000,8.540000,8.540000,2097100
2020-01-31,8.600000,8.600000,8.510000,8.550000,8.550000,2656800
2020-02-03,8.510000,8.530000,8.470000,8.490000,8.490000,2553200
2020-02-04,8.480000,8.590000,8.480000,8.550000,8.550000,2086500
2020-02-05,8.500000,8.650000,8.450000,8.590000,8.590000,2166500
2020-02-06,8.630000,8.760000,8.630000,8.740000,8.740000,2423900
2020-02-07,8.630000,8.730000,8.560000,8.580000,8.580000,3198400
2020-02-10,8.500000,8.560000,8.490000,8.510000,8.510000,1697600
2020-02-11,8.540000,8.600000,8.510000,8.530000,8.530000,1120200
2020-02-12,8.550000,8.670000,8.550000,8.640000,8.640000,1780400
2020-02-13,8.650000,8.660000,8.580000,8.590000,8.590000,1557100
2020-02-14,8.610000,8.650000,8.590000,8.620000,8.620000,1334000
2020-02-17,8.620000,8.680000,8.600000,8.660000,8.660000,1140300
2020-02-18,8.630000,8.640000,8.500000,8.510000,8.510000,2997800
2020-02-19,8.520000,8.630000,8.510000,8.570000,8.570000,1534600
2020-02-20,8.580000,8.600000,8.520000,8.550000,8.550000,1513100
2020-02-21,8.520000,8.630000,8.520000,8.570000,8.570000,2204800
2020-02-24,8.550000,8.560000,8.480000,8.480000,8.480000,2214100
2020-02-25,8.480000,8.530000,8.460000,8.460000,8.460000,2121500
2020-02-26,8.460000,8.460000,8.380000,8.400000,8.400000,2776500
2020-02-27,8.390000,8.410000,8.200000,8.320000,8.320000,3976700
2020-02-28,8.080000,8.190000,8.000000,8.000000,8.000000,5726600
2020-03-02,8.000000,8.180000,8.000000,8.150000,8.150000,3585200
2020-03-03,8.170000,8.220000,8.060000,8.100000,8.100000,3270300
2020-03-04,8.100000,8.140000,8.060000,8.130000,8.130000,1602500
2020-03-05,8.150000,8.180000,8.060000,8.070000,8.070000,1792400
2020-03-06,8.040000,8.040000,7.950000,7.960000,7.960000,2774700
2020-03-09,7.900000,7.900000,7.600000,7.600000,7.600000,5493800
2020-03-10,7.580000,7.970000,7.540000,7.880000,7.880000,3503700
2020-03-11,7.880000,7.920000,7.680000,7.680000,7.680000,2962100
2020-03-12,7.600000,7.600000,7.340000,7.340000,7.340000,4031100
2020-03-13,6.980000,7.440000,6.720000,7.200000,7.200000,5928500
2020-03-16,6.900000,7.030000,6.740000,6.740000,6.740000,5621200
2020-03-17,6.600000,6.770000,6.570000,6.620000,6.620000,4260200
2020-03-18,6.620000,6.620000,6.620000,6.620000,6.620000,0
2020-03-19,6.460000,6.460000,6.010000,6.120000,6.120000,5155800
