Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,2.240000,2.250000,2.220000,2.230000,2.197273,3957100
2019-07-30,2.230000,2.240000,2.220000,2.230000,2.197273,3897500
2019-07-31,2.220000,2.230000,2.180000,2.210000,2.177567,10103700
2019-08-01,2.200000,2.210000,2.160000,2.180000,2.148007,5988900
2019-08-02,2.160000,2.170000,2.120000,2.120000,2.088887,7255200
2019-08-05,2.110000,2.120000,2.090000,2.100000,2.069181,6213400
2019-08-06,2.060000,2.120000,2.050000,2.090000,2.059327,10260200
2019-08-07,2.090000,2.110000,2.070000,2.080000,2.049474,5522400
2019-08-08,2.080000,2.100000,2.070000,2.090000,2.059327,4168200
2019-08-13,2.080000,2.090000,2.050000,2.080000,2.049474,7978400
2019-08-14,2.100000,2.100000,2.060000,2.060000,2.029768,6113900
2019-08-15,2.050000,2.060000,2.020000,2.060000,2.029768,8092900
2019-08-16,2.060000,2.060000,2.030000,2.060000,2.029768,5671500
2019-08-19,2.060000,2.100000,2.050000,2.080000,2.049474,8281900
2019-08-20,2.070000,2.110000,2.060000,2.110000,2.079034,7054100
2019-08-21,2.110000,2.160000,2.100000,2.150000,2.118447,5104700
2019-08-22,2.150000,2.160000,2.100000,2.130000,2.098741,5849800
2019-08-23,2.140000,2.140000,2.030000,2.040000,2.010061,12675100
2019-08-26,2.000000,2.010000,1.970000,1.990000,1.960795,10105900
2019-08-27,1.990000,2.020000,1.980000,1.990000,1.960795,7386000
2019-08-28,1.990000,2.000000,1.930000,1.930000,1.901676,11236800
2019-08-29,1.940000,2.000000,1.920000,1.990000,1.960795,11580900
2019-08-30,1.990000,2.010000,1.940000,1.990000,1.960795,9191100
2019-09-02,1.970000,1.970000,1.910000,1.940000,1.911529,8103000
2019-09-03,1.940000,1.940000,1.910000,1.940000,1.911529,3915500
2019-09-04,1.930000,1.970000,1.930000,1.960000,1.931235,5268800
2019-09-05,1.970000,1.970000,1.950000,1.960000,1.931235,3663500
2019-09-06,1.960000,1.990000,1.960000,1.980000,1.950942,3650700
2019-09-09,1.980000,2.010000,1.970000,1.990000,1.960795,3691000
2019-09-10,2.000000,2.050000,1.990000,2.040000,2.010061,10078300
2019-09-11,2.060000,2.110000,2.040000,2.090000,2.059327,10324600
2019-09-12,2.100000,2.100000,2.060000,2.080000,2.049474,6819000
2019-09-13,2.090000,2.090000,2.040000,2.050000,2.019915,5809500
2019-09-16,2.050000,2.070000,2.020000,2.050000,2.019915,4972600
2019-09-17,2.060000,2.090000,2.060000,2.070000,2.039621,6315100
2019-09-18,2.080000,2.100000,2.060000,2.080000,2.049474,5928300
2019-09-19,2.080000,2.090000,2.060000,2.080000,2.049474,3961100
2019-09-20,2.090000,2.130000,2.080000,2.110000,2.079034,9697100
2019-09-23,2.120000,2.120000,2.070000,2.080000,2.049474,3088200
2019-09-24,2.100000,2.150000,2.100000,2.130000,2.098741,7312100
2019-09-25,2.130000,2.150000,2.110000,2.120000,2.088887,5548700
2019-09-26,2.120000,2.130000,2.090000,2.110000,2.079034,4306100
2019-09-27,2.100000,2.110000,2.080000,2.110000,2.079034,2574500
2019-09-30,2.090000,2.100000,2.060000,2.080000,2.049474,4870000
2019-10-01,2.080000,2.130000,2.070000,2.130000,2.098741,3284700
2019-10-02,2.120000,2.120000,2.080000,2.090000,2.059327,4594100
2019-10-03,2.070000,2.130000,2.070000,2.100000,2.069181,4879500
2019-10-04,2.110000,2.150000,2.090000,2.130000,2.098741,6785800
2019-10-07,2.140000,2.160000,2.130000,2.150000,2.118447,3410200
2019-10-08,2.150000,2.160000,2.120000,2.140000,2.108594,2965600
2019-10-09,2.130000,2.150000,2.120000,2.130000,2.098741,4002700
2019-10-10,2.130000,2.140000,2.110000,2.120000,2.088887,3885400
2019-10-11,2.140000,2.150000,2.120000,2.140000,2.108594,2726300
2019-10-14,2.140000,2.140000,2.100000,2.100000,2.069181,5374300
2019-10-15,2.100000,2.150000,2.100000,2.150000,2.118447,3234200
2019-10-16,2.160000,2.180000,2.140000,2.160000,2.128300,5812500
2019-10-17,2.170000,2.170000,2.120000,2.130000,2.098741,4178700
2019-10-18,2.140000,2.150000,2.120000,2.150000,2.118447,6876000
2019-10-21,2.150000,2.250000,2.150000,2.250000,2.216980,10900300
2019-10-22,2.250000,2.250000,2.190000,2.200000,2.167713,7279600
2019-10-23,2.190000,2.220000,2.190000,2.210000,2.177567,6379800
2019-10-24,2.230000,2.260000,2.200000,2.230000,2.197273,7626500
2019-10-25,2.230000,2.240000,2.210000,2.230000,2.197273,2856400
2019-10-29,2.240000,2.280000,2.210000,2.230000,2.197273,7741000
2019-10-30,2.220000,2.220000,2.190000,2.210000,2.177567,5581900
2019-10-31,2.250000,2.250000,2.220000,2.220000,2.187420,7358500
2019-11-01,2.220000,2.250000,2.210000,2.240000,2.207126,5038800
2019-11-04,2.220000,2.260000,2.220000,2.250000,2.216980,4010400
2019-11-05,2.250000,2.300000,2.240000,2.300000,2.266246,6892400
2019-11-06,2.290000,2.300000,2.260000,2.270000,2.236686,4501800
2019-11-07,2.280000,2.310000,2.270000,2.280000,2.246539,6153700
2019-11-08,2.280000,2.340000,2.280000,2.340000,2.305658,7421700
2019-11-11,2.330000,2.330000,2.290000,2.310000,2.276099,3249500
2019-11-12,2.330000,2.340000,2.280000,2.330000,2.295805,4172600
2019-11-13,2.310000,2.330000,2.300000,2.330000,2.295805,3849200
2019-11-14,2.330000,2.330000,2.240000,2.260000,2.226833,11550900
2019-11-15,2.270000,2.280000,2.210000,2.240000,2.207126,7547500
2019-11-18,2.230000,2.260000,2.220000,2.240000,2.207126,8010900
2019-11-19,2.230000,2.240000,2.210000,2.220000,2.187420,6230800
2019-11-20,2.220000,2.250000,2.210000,2.230000,2.197273,6102100
2019-11-21,2.230000,2.230000,2.210000,2.210000,2.177567,3671200
2019-11-22,2.230000,2.270000,2.210000,2.250000,2.216980,5275100
2019-11-25,2.260000,2.270000,2.220000,2.220000,2.187420,4686800
2019-11-26,2.230000,2.260000,2.200000,2.220000,2.187420,17003200
2019-11-27,2.230000,2.240000,2.210000,2.240000,2.207126,3786400
2019-11-28,2.230000,2.230000,2.200000,2.210000,2.177567,4396700
2019-11-29,2.220000,2.220000,2.200000,2.200000,2.167713,4362200
2019-12-02,2.200000,2.230000,2.200000,2.210000,2.177567,1437300
2019-12-03,2.210000,2.220000,2.160000,2.160000,2.128300,7432000
